調査名,ボーリング名,ボーリング総数,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,測地系,調査位置住所,コード1次,コード2次,コード3次,発注機関名称,調査期間_開始年月日,調査期間_終了年月日,調査会社_名称,調査会社_TEL,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,孔口標高,総掘進長,柱状図様式,掘進角度,試錐機_名称,エンジン_名称,ハンマー落下用具_コード,ハンマー落下用具_名称,N値記録用具_コード,ポンプ_名称,土質岩種区分_下端深度,土質岩種区分_土質岩種区分1,土質岩種区分_土質岩種記号1,土質岩種区分_分類コード1,土質岩種区分_土質岩種区分2,土質岩種区分_土質岩種記号2,土質岩種区分_分類コード2,色調_下端深度,色調_色調名,観察記事_上端深度,観察記事_下端深度,観察記事_記事,観察記事枠線_下端深度,標準貫入試験_開始深度,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,標準貫入試験_10_20打撃回数,標準貫入試験_10_20貫入量,標準貫入試験_20_30打撃回数,標準貫入試験_20_30貫入量,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,相対密度稠度_下端深度,相対密度_コード,相対密度_状態,P波試験_上端深度,P波試験_下端深度,P波試験_起振方式,P波試験_速度,S波試験_上端深度,S波試験_下端深度,S波試験_起振方式,S波試験_速度,フリー情報,相対稠度_コード,相対稠度_状態,地盤勾配,取得方法説明,読取精度コード
強震観測用施設の土質調査及びその他整備作業,FKI008,11,8,135,54,30.2,35,32,52.4,1,福井県三方郡三方町中央1号2番地　町民プール横の町有地(雑草地),5335,27,52,独立行政法人　防災科学技術研究所,1996-1-11,1996-2-22,大成建設株式会社,045-814-7237,飯星　茂,山根　英雄,宮崎　武志,桑原　耕治,12.75,20,1,0,YBM-05,ヤンマーHFAD-8PS,1,自動落下,9,YBMSP-30P,20,ｼﾙﾄ混り砂質礫質土,GF-M,01004,礫混り粘性土,C-G,03002,20,灰,14,20,全体に、礫分を混入する細砂を主体とするが、粒径不均一で、中砂および粗砂の混入も多い。\nまた、細粒分を不規則に含む。\n全体に含水量は少ない。\n15.0m付近は、上部より粒径粗く粗砂を主体とする。\nまた、φ20～40m/m程度の亜角礫～角礫を含む。\n17.0m付近は、比較的粒径均一な中砂を主体とする。\nまた、φ10m/m前後の亜角礫を含む。\n色調は茶灰色を呈する。\n18.0～21.0m間は、玉石状の礫を多く混入する。\n硬質である。\n12.0m付近より以深、断続的に湧水を確認する。\n湧水量は、10～15l/分程度である。,20,20,5,10,20,10,25,8,50,0,20,5,非常に密な,3.00,20.00,不明,1500,3.00,20.00,不明,210,2009-09-10 09:20:52XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
強震観測用施設の土質調査及びその他整備作業,FKI009,11,9,135,45,6.8,35,29,47.4,1,福井県小浜市四谷町第20号31番東公園(砕石敷),5335,16,90,独立行政法人　防災科学技術研究所,1996-2-13,1996-2-22,大成建設株式会社,045-814-7237,飯星　茂,山根　英雄,渡部　敏雄,桑原　耕治,3,20.5,1,0,YBM-05,ヤンマー8PS,1,自動落下,9,MS-401,20.5,シルト混り砂質土,SF-M,02004,礫混り砂質粘性土,CS-G,03022,20.5,暗灰,19,20.5,全体に細砂～中砂分を主体とし、局部的に細粒分をブロック状に挟在する。\n含水量は少ない。\n黒色の炭化物を稀に点在する。,20.5,20.15,2,10,2,10,2,10,6,30,20.5,2,緩い,2.00,20.00,不明,2000,3.00,20.00,不明,160,2009-09-10 09:20:52XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),1,軟らかい,,,
強震観測用施設の土質調査及びその他整備作業のうち土質調査,ISK011,14,11,136,26,35.5,36,23,48.1,1,石川県小松市向本折町ホ60番地,5436,43,75,独立行政法人　防災科学技術研究所,1996-1-10,1996-1-11,中央開発株式会社　中部支店,052-481-6261,,岩田　良治,,柴田　南海男,3,20.5,1,0,,,9,,9,,20.5,粘土,CH,03200,,,,20.5,暗灰,18.3,20.5,GL-18.30m、黒灰\n粘性強い,20.5,20.15,1,16,1,14,1,10,2,30,20.5,3,中ぐらい,3.00,20.00,不明,1550,4.00,20.00,不明,170,2009-09-10 09:20:50XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),1,軟らかい,,,
強震観測用施設の土質調査及びその他整備作業,GIF006,26,6,136,57,10.1,36,1,59.9,1,岐阜県大野郡荘川村新淵字清水333-2,5436,07,36,独立行政法人　防災科学技術研究所,1995-11-27,1995-12-17,大成建設株式会社,045-814-7237,飯星　茂,佐野　晴彦,小熊　健一,野間　良一,792,20.37,1,0,東邦地下工機　D-0C,ヤンマー　NFAD8,4,コーンプーリー,9,東邦地下工機　BG-3C,20.37,玉石混じり砂礫,GS-B,01501,,,,20.37,青灰～茶灰,11,16,6.50～13.50mは、φ2～20mmの安山岩質の角礫を主体とした粘土混じり砂礫である。下部では、マトリックスとしての砂質粘土を多く含むようになる。\n13.50m以深では、粒子不均一な砂あるいはφ2～4mmの細礫が混在するものであり、19.50m付近より固結状コア呈すようになる。,20.37,20.15,13,10,26,10,11,2,50,22,20.37,4,密な,3.00,20.00,不明,2700,13.00,20.00,不明,740,2009-09-10 09:21:01XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),2,中位,,,
強震観測用施設の土質調査及びその他整備作業,GIF012,26,12,136,29,17.5,35,38,11.4,1,岐阜県揖斐郡藤橋村東杉原137-1,5336,33,69,独立行政法人　防災科学技術研究所,1996-2-16,1996-2-28,大成建設株式会社,045-814-7237,飯星　茂,佐野　晴彦,小熊　健一,野間　良一,221,10.06,1,0,東邦地下工機　D-0C,ヤンマー　NFAD8,4,コーンプーリー,9,東邦地下工機　BG-3C,10.06,岩盤,HR,07100,,,,10.06,暗灰,8.8,10.05,全体に風化による粘土化著しい粘板岩。コアは、細礫（φ2～5mm）状コア呈す。\nまれに棒状コア（10cm）も混じる。,10.06,10,50,6,8,10,35,5,50,6,10.06,5,非常に密な,4.00,10.00,不明,1720,7.00,10.00,不明,480,2009-09-10 09:21:02XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
強震観測用施設の土質調査及びその他整備作業のうち土質調査,ISK012,14,12,136,36,16.2,36,21,27,1,石川県石川郡鳥越村字別宮丙119,5436,44,28,独立行政法人　防災科学技術研究所,1996-1-13,1996-1-17,中央開発株式会社　中部支店,052-481-6261,,岩田　良治,,柴田　南海男,177,10,1,0,,,9,,9,,10,凝灰岩,WR,07300,,,,10,青灰～緑灰,6.5,9,GL-6.50～6.90m、灰白。\n棒状コア(クラック面無し)。,10,10,50,3,43,10,10,10,50,0,10,4,密な,6.00,10.00,不明,1920,3.00,10.00,不明,560,2009-09-10 09:20:50XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),3,硬い,,,
強震観測用施設の土質調査及びその他整備作業,KYT005,14,5,135,23,20.8,35,28,33.2,1,京都府舞鶴市字浜小字六嶋2006-80,5335,13,71,独立行政法人　防災科学技術研究所,1995-11-30,1996-1-25,大成建設株式会社,045-814-7237,飯星　茂,榊　修一,武藤　章二,武藤　章二,3,10,1,0,KANO　KR-100H,ヤンマー　NFD13,4,コーンプーリー,9,KANO　V-6,10,硬岩,HR,07100,,,,10,淡青灰,7,8,割れ目は密着しており、その表面は新鮮である。,10,10,,,,,,,50,0,10,,,1.00,10.00,不明,3550,1.00,10.00,不明,1280,2009-09-10 09:21:22XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,0,,
強震観測用施設の土質調査及びその他整備作業,GIF011,26,11,136,58,50.9,35,45,33.5,1,岐阜県郡上郡八幡町旭字中会津1514-2,5336,57,18,独立行政法人　防災科学技術研究所,1995-12-14,1996-1-11,大成建設株式会社,045-814-7237,飯星　茂,佐野　晴彦,小熊　健一,内山　淳一,245,10,1,0,東邦地下工機　D-0C,ヤンマー　NFAD8,4,コーンプーリー,9,東邦地下工機　BG-3C,10,風化岩,WR,07300,玉石混じり砂礫,GS-B,01501,10,緑灰,8.8,10,風化著しく粘土状コアあるいはφ2～20mmの細礫状コア呈す。,10,10,50,2,16,10,19,8,50,2,10,5,非常に密な,5.00,10.00,不明,2080,5.00,10.00,不明,560,2009-09-10 09:21:02XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
土質調査(白峰観測施設　ISK013),ISK013_new,1,1,136,37,28.9,36,10,49.8,1,石川県石川郡白峰村字白峰二56,5436,24,19,独立行政法人　防災科学技術研究所,2004-8-23,2004-8-28,㈱エオネックス,076-238-1181,武田　浩,山田　信一,山田　信一,大岡　力夫,476.53,20,1,0,YBM-05,ヤンマーNFAD-8,2,半自動型,9,GP-5,20,頁岩と砂岩の互層,S,02100,,,,20,灰～淡灰褐～淡灰,15.1,20,砂岩は粗粒岩で、硬質であるが部分的に脆い所がある。\n砂岩区間のコアは、コア表面がざらざらしている。\n部分的に低角～高角の亀裂多く発達し、角礫状～菱形状に採取される所もある。\n深部の亀裂面はほぼ新鮮で、岩片は硬質である。,20,20,,,,,,,60,0,20,5,非常に密な,12.00,20.00,不明,2260,16.00,20.00,不明,770,2009-09-10 09:20:50XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),3,硬い,0,　,　
強震観測用施設の土質調査及びその他整備作業,GIF001,26,1,136,53,52.1,36,16,27.1,1,岐阜県大野郡白川村鳩谷614-1,5436,37,21,独立行政法人　防災科学技術研究所,1995-12-1,1995-12-17,大成建設株式会社,045-814-7237,飯星　茂,佐野　晴彦,小熊　健一,野間　良一,477.9,10.05,1,0,東邦地下工機　D-0C,ヤンマー　NFAD8,4,コーンプーリー,9,東邦地下工機　BG-3C,10.05,風化岩,WR,07300,,,,10.05,褐灰,8,10.05,上部は、風化による粘土化著しく、礫状～短柱状コア呈す。,10.05,10,50,5,1,10,1,10,50,5,10.05,5,非常に密な,7.00,10.00,不明,1640,7.00,10.00,不明,480,2009-09-10 09:21:00XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),1,軟らかい,,,
