調査名,ボーリング名,ボーリング総数,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,取得方法コード,測地系,調査位置住所,調査期間_開始年月日,調査期間_終了年月日,調査会社_名称,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,孔口標高,総掘進長,柱状図様式,掘進角度,掘進方向,地盤勾配,試錐機_名称,エンジン_名称,ハンマー落下用具_コード,ポンプ_名称,土質岩種区分_下端深度,土質岩種区分_土質岩種区分1,土質岩種区分_土質岩種記号1,土質岩種区分_分類コード1,色調_下端深度,色調_色調名,観察記事_上端深度,観察記事_下端深度,観察記事_記事,観察記事枠線_下端深度,P波試験_上端深度,P波試験_下端深度,P波試験_起振方式,P波試験_速度,S波試験_上端深度,S波試験_下端深度,S波試験_起振方式,S波試験_速度,地質時代_上端深度,地質時代_下端深度,地質時代_コード,地質時代_時代名,地層岩体区分_上端深度,地層岩体区分_下端深度,地層岩体区分_地層岩体名,土質岩種区分_土質岩種記号2,土質岩種区分_分類コード2
防災科学技術研究所 高感度地震観測井掘削工事,GIFH05,29,5,136,57,2.9880,36,03,43.9920,09,0,岐阜県高山市荘川町岩瀬字高野49-4,1996-08-20,1996-10-25,株式会社東建ジオテック,中島　三春,碓井　等,中島　三春,橋本　利勝,839.00,103.20,2,0.00,0.00,0.00,TBM-70株式会社利根,TF-0株式会社日立、モーター1,9,NP4001株式会社利根,103.20,花崗閃緑岩,Gd,32100,103.20,暗緑灰,102.60,103.20,102.9m～103.05m間は粗粒部,103.20,42.00,92.00,不明,4290,42.00,92.00,不明,1460,26.50,103.20,99999,中生代三畳紀・古生代ペルム紀,26.50,103.20,船津花崗岩類,,
防災科学技術研究所 高感度地震観測井掘削工事,GIFH12,29,12,136,24,58.8960,35,36,0.3960,09,0,岐阜県揖斐郡揖斐川町坂内広瀬字高戸595番地,2001-10-20,2002-01-25,東京地質工業株式会社,斉藤　洋彦,長岡　和広,長岡　和広,大石　秀明,260.00,109.00,2,0.00,,,EP-1W,モーター,9,MG-40,109.00,粘板岩,Sl,20060,109.00,暗青灰～黒灰,103.00,109.00,103～109mオールコアとなる。最大コア長25cmで硬質,109.00,90.00,107.00,不明,3400,90.00,107.00,不明,1500,11.00,109.00,30000,,11.00,109.00,河岸段丘,,
防災科学技術研究所 高感度地震観測井掘削工事,GIFH06,29,6,136,47,48.8040,35,30,2.1960,09,0,岐阜県山県市高富2865-3,1996-08-09,1997-02-28,株式会社東京ソイルリサーチ,渡辺　博文,上　教一,上　教一,黒瀬　武弘,39.00,204.70,2,0.00,,0.00,NL-55型,,3,MG-40型,204.70,チャート,Cht,20150,204.70,灰～暗灰,200.00,204.70,所々1～2cm帯状に乳茶褐色を呈す部分見られる。\nコア採取率17～45％。,204.70,44.00,194.00,不明,3760,44.00,194.00,不明,1670,24.50,204.70,99999,中生代ジュラ紀～石炭紀,24.50,204.70,谷底性堆積物,,
防災科学技術研究所 高感度地震観測井掘削工事,GIFH07,29,7,136,26,15.5040,35,24,52.8840,09,0,岐阜県揖斐郡揖斐川町春日川合字笹又,1996-08-12,1997-02-28,株式会社日本パブリック,三宅　克行,福田　幸二,渡辺　真司,松本　祐市,410.00,105.00,2,0.00,,0.00,鉱研工業エクスプローラーEP-1W,30kwモーター,9,利根NP400,105.00,粘板岩,Sl,20060,105.00,暗灰～黒,103.00,105.00,砂岩、砂質粘板岩礫少量混じる,105.00,40.00,96.00,不明,3790,40.00,96.00,不明,1860,8.20,103.00,99999,中生代ジュラ紀・中生代三畳紀・古生代ペルム紀,8.20,103.00,崖錐堆積物,Sl,20060
防災科学技術研究所 高感度地震観測井掘削工事,GIFH13,29,13,136,54,3.0960,36,16,16.2120,09,0,岐阜県大野郡白川村飯島707番地の2,2002-03-27,2002-11-25,三井金属資源開発株式会社,高橋　英一郎,形部　雄二,井上　敏夫,今西　主一,480.00,156.20,2,0.00,,0.00,EP-1W,三相モーター18.5kw,9,MG-40,156.20,花崗岩,Gr,32110,156.20,灰白～白,152.00,156.20,一部変質するも、概ね新鮮な花崗岩。,156.20,130.00,152.00,不明,3900,130.00,152.00,不明,1700,8.00,156.20,20000,,8.00,156.20,白川花崗岩類,Ss,20020
防災科学技術研究所 高感度地震観測井掘削工事,GIFH17,29,17,136,52,34.2120,35,56,53.8080,09,0,岐阜県郡上市高鷲町大鷲字躑躅ヶ野1219-1,2002-03-27,2002-11-25,三井金属資源開発株式会社,高橋　英一郎,形部　雄二,井上　敏夫,清水　康尚,610.00,103.00,2,0.00,,0.00,SDR-2A,三相モーター18.5kw,9,MG-40,103.00,溶結凝灰岩,Wtf,42100,103.00,褐灰～灰,86.00,103.00,径50mm程度以下の同質岩片を混入する溶結凝灰岩からなり、20～30°前後の傾斜での流理構造が明瞭に認められる。\n全体に亀裂及び潜在亀裂に沿って風化し褐色化するが、岩芯は概ね新鮮で堅硬な岩盤である。,103.00,50.00,100.00,不明,3700,50.00,100.00,不明,1600,10.00,103.00,20000,,10.00,103.00,濃飛流紋岩類,,
防災科学技術研究所 高感度地震観測井掘削工事,GIFH03,29,3,136,36,58.8960,35,37,45.6960,09,0,岐阜県本巣市根尾板所827番地,1996-08-13,1997-02-28,平井工業株式会社,吉田　友彦,吉田　友彦,吉田　友彦,田中　幸雄,170.00,103.00,2,0.00,,0.00,NL-38メガロ,電気モーター18.5kw,9,MG-40,103.00,頁岩,Sh,20050,103.00,暗灰,100.50,103.00,100.0～103.0m間，砂(スライム)状コアを主体とし、所々に砂岩礫が岩片状で散在する。砂岩礫は硬質な状態で残っているが、頁岩としての岩構造は失われ土砂化している。,103.00,46.00,96.00,不明,3040,46.00,96.00,不明,910,7.40,103.00,99999,中生代ジュラ紀・中生代三畳紀・古生代ペルム紀,7.40,103.00,盛土,,
防災科学技術研究所 高感度地震観測井掘削工事,FKIH05,7,5,136,01,59.3040,35,38,8.9160,09,0,福井県敦賀市沓見149号南庄田1番,1998-10-22,1999-02-26,ニチボー,尾毛谷　茂有,西村　義章,三好　正,川地　義勝,10.00,125.00,2,0.00,,,L-38,18.5ｋｗ,9,MG-25,125.00,花崗岩,Gr,32110,125.00,灰,120.00,125.00,\n120.0～120.2間、亀裂集中し、亀裂面は酸化汚染により黄褐色に変色する。\n120.2m以深、棒状コア主体となる。コアは硬質で、ハンマーの打撃により金属音を発するが、風化により長石の白濁化および黒雲母の緑色化が認められる。,125.00,80.00,121.00,不明,3150,80.00,121.00,不明,1160,28.00,125.00,12500,,28.00,125.00,深成岩類（敦賀花崗岩）,,
防災科学技術研究所 高感度地震観測井掘削工事,FKIH04,7,4,135,52,19.9920,35,33,20.0160,09,0,福井県三方上中郡若狭町田井23-10,1998-10-22,1999-02-26,株式会社ニチボー,尾毛谷　茂有,西村　義章,三好　正,佐々木　勝雄,3.00,203.00,2,0.00,,,L-38,18.5ｋｗ,9,NP-400,203.00,泥岩,Ms,20040,203.00,暗緑灰～緑灰,200.80,203.00,200.8m以深では暗緑灰色の泥岩が優勢となる。泥岩は緑泥石化が著しく、亀裂が多く軟質である。ハンマーの打撃で濁音を発する。コアは礫状から短棒状を呈し、亀裂に沿って粘土を挟む。\n202.0～202.3m間は石灰岩で、泥岩を礫状に取り込んでいる。,203.00,98.00,198.00,不明,5500,98.00,198.00,不明,2300,104.00,203.00,22000,,104.00,203.00,堆積岩類（丹波帯）,,
防災科学技術研究所 高感度地震観測井掘削工事,FKIH06,7,6,135,29,12.9840,35,29,15.0000,09,0,福井県大飯郡高浜町高野17-2,1998-10-22,1999-02-26,株式会社ニチボー,尾毛谷　茂有,西村　義章,三好　正,佐々木　勝雄,160.00,103.00,2,0.00,,,L-38,18.5ｋｗ,9,MG-25B,103.00,凝灰岩,Tf,42030,103.00,灰褐～褐,95.00,103.00,95.0mより棒状コアが主体となる。\n灰褐色の凝灰岩主体で、黒色の泥岩が縞状ないし礫状に入る。,103.00,86.00,98.00,不明,2050,86.00,98.00,不明,1050,8.00,103.00,12200,,8.00,103.00,堆積岩類（内浦層群）,,
