適用規格,事業工事名,調査名,調査目的,調査対象,ボーリング名,ボーリング総数,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,取得方法コード,読取精度コード,測地系,調査位置住所,コード1次,コード2次,コード3次,発注機関名称,テクリスコード,調査期間_開始年月日,調査期間_終了年月日,調査会社_名称,孔口標高,総掘進長,柱状図様式,掘進角度,地盤勾配,試錐機_名称,試錐機_能力,試錐機_方法,エンジン_名称,エンジン_能力,エンジン_単位,ハンマー落下用具_コード,ハンマー落下用具_名称,N値記録用具_コード,ポンプ_名称,ポンプ_能力,ポンプ_単位,櫓種類コード,岩石土区分_下端深度,岩石土区分_岩石土名,岩石土区分_岩石土記号,岩石土区分_岩石群コード,岩石土区分_岩石,色調_下端深度,色調_色調名,観察記事_上端深度,観察記事_下端深度,観察記事_記事,観察記事枠線_下端深度,標準貫入試験_開始深度,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,標準貫入試験_10_20打撃回数,標準貫入試験_10_20貫入量,標準貫入試験_20_30打撃回数,標準貫入試験_20_30貫入量,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,相対密度稠度_下端深度,相対密度_コード,相対稠度_コード,透水試験_上端深度,透水試験_下端深度,透水試験_試験コード,透水試験_試験方法,透水試験_透水係数,試料採取_上端深度,試料採取_下端深度,試料採取_試料番号,試料採取_採取方法コード,孔内水位_測定年月日,孔内水位_掘削状況コード,孔内水位_孔内水位,孔内水位_水位種別コード,掘削工程_測定年月日,掘削工程_掘進深度,掘削工程_ケーシング下端深度,硬軟区分判定表_コード,硬軟区分判定表_記号,硬軟区分判定表_区分,硬軟区分判定表_説明,硬軟区分_下端深度,硬軟区分_硬軟区分,コア形状区分判定表_コード,コア形状区分判定表_記号,コア形状区分判定表_説明,コア形状区分_下端深度,コア形状区分_コア形状区分,割れ目区分判定表_コード,割れ目区分判定表_記号,割れ目区分判定表_説明,割れ目区分_下端深度,割れ目区分_割れ目区分,風化区分判定表_コード,風化区分判定表_記号,風化区分判定表_説明,風化区分_下端深度,風化区分_風化区分,変質区分判定表_コード,変質区分判定表_記号,変質区分判定表_区分,変質区分判定表_説明,変質区分_下端深度,変質区分_変質区分,孔内水位_水位種別備考,孔径孔壁保護_下端深度,孔径孔壁保護_孔径,孔径孔壁保護_孔壁保護コード,孔径孔壁保護_孔壁保護方法,掘進速度_下端深度,掘進速度_掘進速度,コアチューブビット_下端深度,コアチューブビット_コアチューブ名,コアチューブビット_ビット名,給圧条件_下端深度,給圧条件_給圧,回転数_下端深度,回転数_回転数,送水条件_下端深度,送水条件_送水圧,送水条件_送水量,送水条件_排水量,送水条件_送水種類コード,断層破砕帯区分_上端深度,断層破砕帯区分_下端深度,断層破砕帯区分_性状コード,コア採取率_下端深度,コア採取率_採取率,最大コア長_下端深度,最大コア長_コア長,RQD_下端深度,RQD_RQD,岩級区分判定表_項目名,岩級区分判定表_コード,岩級区分判定表_記号,岩級区分判定表_説明,岩級区分_下端深度,岩級区分_岩級区分,フリー情報,岩石土区分_岩相,標準貫入試験_備考,掘進方向,相対密度_状態,試料採取_採取方法,取得方法説明,コア形状区分判定表_区分,割れ目区分判定表_区分,風化区分判定表_区分,地質時代_上端深度,地質時代_下端深度,地質時代_地質時代名,地質時代_形成年代上限,地質時代_形成年代下限,孔径孔壁保護_孔壁保護実施理由,送水条件_送水種類,孔内水平載荷試験_試験深度,孔内水平載荷試験_試験方法コード,孔内水平載荷試験_初期圧,孔内水平載荷試験_降伏圧,孔内水平載荷試験_変形係数,孔内水位_掘削状況,その他原位置試験_試験名,その他原位置試験_上端深度,その他原位置試験_下端深度,その他原位置試験_試験結果,試料採取_試験名,相対稠度_状態,N値記録用具_名称,調査会社_TEL,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,櫓種類名称,岩石土区分_変成岩岩相,岩石土区分_変成岩岩石,地層岩体区分_上端深度,地層岩体区分_下端深度,地層岩体区分_地層岩体名,孔内水平載荷試験_載荷パターン,座標定義,座標,地盤分類_下端深度,地盤分類_工学的分類記号,標準貫入試験詳細データ_開始深度,標準貫入試験詳細データ_打撃回数,標準貫入試験詳細データ_貫入量,標準貫入試験詳細データ_累積貫入量
JIS A 0206-2008,令和元年度 第K29N-42号 高時川補助広域河川改修調査業務委託,令和元年度 第K29N-42号 高時川補助広域河川改修調査業務委託,08,09,R-2(裏),12,0007,136,14,25.1000,35,24,36.4000,02,1,1,滋賀県長浜市難波町地内,5336,01,99,滋賀県長浜土木事務所,22501106,2020-08-20,2020-08-24,土質コンサル株式会社,92.60,15.50,1,0.00,33.00,YBM-05DA2,50,3,ヤンマーNS75,7.5,ps,9,半自動落下,2,カノV-5P,65,l/m,3,15.50,粘土,CH,1,532120000,15.50,暗灰,14.70,15.50,ほぼ均質でやや有機質。\n腐植物散在。,15.50,15.15,2,10,2,10,2,10,6,30,15.50,0,2,5.00,5.50,99,現場透水試験,7.97E-04,15.00,15.50,2R-P15,100,2020-08-21,1,4.75,12,2020-08-21,15.50,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成19年度 第1750-5号 森の前川補助通常砂防地質調査業務委託,09,01,NO.1-2,8,2,136,13,13.30000,35,31,21.60000,02,0,1,滋賀県伊香郡余呉町坂口,5336,21,27,滋賀県湖北地域振興局木之本建設管理部,22501107,2007-12-06,2007-12-08,フジコスDK株式会社,176.60,6.13,2,0.00,28.00,YBM-05,,3,クボタ N-11,,,4,,2,丸山　MS-900,,,,6.13,頁岩,Sh,1,111300012,6.13,暗褐灰,5.50,6.13,礫混じり砂～粘土状の土砂状に採取される。破砕されている。,6.13,6.10,50,3,20,10,12,4,50,3,,,,,,,,,,,,,2007-12-08,1,2.80,99,2007-12-08,6.00,,015,E,極軟,マサ状、粘土状。a,6.13,015,018,VIII,コアの採取ができないもの。スライムも含む。,6.13,017,014,d,割れ目として認識できない角礫状、砂状、粘土状コア。,6.13,014,015,ε,強風化している。石英および一部の長石を除きほとんど変質し原岩組織は失われている。,6.13,015,014,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換され、原岩組織を全く～殆ど残さないもの。,6.13,014,不明,6.00,66,9,無し,6.00,80,6.00,S,MC,6.00,1.0,6.00,60,6.00,0.0,0,0,1,5.50,6.13,5,6.00,100,6.00,2,6.00,0,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,6.13,960,"
			2011-12-15 19:26:10 測地系変換(世界→日本)を実行_変換前経度:136度13分2.90881秒_変換前緯度:35度31分33.02641秒
			(ボーリングデータＸＭＬ変換システム ver1.0)
		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成25年度第B121-11号葛籠尾崎塩津線補助道路修繕調査業務委託,09,13,No.1,7,0001,136,08,40.9000,35,28,20.2000,01,1,1,滋賀県長浜市木之本町(測線0+20-3.5m　L-21.2m),5336,11,61,滋賀県長浜土木事務所,22501106,2014-12-06,2014-12-13,株式会社ダイヤコンサルタント,309.91,9.00,2,0.00,38.00,東邦地下工機　D0-D,,,ヤンマーNFAD10-M,,,,,,ヤンマーEP-70,,,,9.00,斑れい岩,Gb,1,219125500,9.00,暗青灰,7.50,9.00,亀裂多く、クサビ状～短柱状コア。\n一部の亀裂面は褐色化するが、岩片は硬質。,9.00,6.15,20,10,22,10,8,3,50,23,,,,,,,,,,,,,2014-12-13,1,4.70,,2014-12-13,9.00,7.50,015,E,極軟,マサ状、粘土状。a,9.00,012,018,VIII,コアの採取ができないもの。スライムも含む。,9.00,014,014,d,割れ目として認識できない角礫状、砂状、粘土状コア。,9.00,012,015,ε,強風化している。石英および一部の長石を除きほとんど変質し原岩組織は失われている。,9.00,012,014,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換され、原岩組織を全く～殆ど残さないもの。,9.00,011,,7.50,91,2,,9.00,60,9.00,DB,L8,9.00,100.0,9.00,120,9.00,5.0,5,5,2,,,,9.00,100,9.00,15,9.00,25,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,9.00,960,,111000000,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成19年度 第B112-7号 葛籠尾崎大浦線 緊急地方道路整備調査設計業務委託,09,13,7-2,2,2,136,08,13.0000,35,27,32.0000,02,0,1,滋賀県伊香郡西浅井町菅浦,5336,11,50,滋賀県湖北地域振興局木之本建設管理部,22501107,2007-09-05,2007-09-12,キタイ設計株式会社,131.31,15.00,2,,30.00,カノ製_KR-100H型,100,2,ヤンマー製 NFD-9型,9,ps,2,,2,ヤンマー製 TA-500型,50,L/min,,15.00,頁岩,Sh,1,111300012,15.00,暗褐灰～黒灰,13.00,15.00,主としてL=5cm程の片状コアに採取され、一部角礫状コアとなる。,15.00,5.15,8,10,12,10,11,10,31,30,,,,,,,,,,,,,,,,,,,,015,E,極軟,マサ状、粘土状。a,15.00,013,018,VIII,コアの採取ができないもの。スライムも含む。,15.00,014,014,d,割れ目として認識できない角礫状、砂状、粘土状コア。,15.00,013,015,ε,強風化している。石英および一部の長石を除きほとんど変質し原岩組織は失われている。,15.00,013,014,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換され、原岩組織を全く～殆ど残さないもの。,15.00,013,,,,,,,,,,,,,,,,,,,,,,,15.00,100,15.00,5,15.00,0,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,15.00,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第C103-5号 木之本長浜線緊急地方道路整備調査業務委託,01,05,BorNo.1(H21),1,1,136,13,40.2000,35,25,02.6000,02,1,1,滋賀県長浜市野寺町,5336,11,08,滋賀県長浜土木事務所,22501106,2010-02-05,2010-02-11,株式会社土質工学,87.45,50.00,1,0.00,0.00,YBM-05,100,1,ヤンマーNFD-9,5,ps,9,半自動落下,2,カノV-6,50,l/m,3,50.30,礫混じり砂,S-G,1,531212000,50.30,暗灰,48.40,50.30,細砂～粗砂主体。\n礫径は、φ=2～5mm。含水はやや多い。,50.30,50.15,28,10,22,5,11,10,50,15,50.30,5,0,,,,,,,,,,2010-02-05,1,1.45,,2010-02-11,50.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第C103-3号 木之本長浜線緊急地方道路整備調査業務委託,01,01,No.1,0001,0001,136,13,41.0000,35,24,05.6000,02,1,1,滋賀県長浜市野寺町,5336,01,88,滋賀県長浜土木事務所,22501106,2009-12-24,2009-12-28,株式会社滋賀測量設計事務所,86.47,21.50,1,0.00,0.00,YBM05-DA,50,3,ヤンマーF8,8,PS,2,コーンプーリー,2,カノーV5,50,l/min,3,21.50,シルト質砂,SM,1,531231030,21.50,暗灰,21.20,21.50,微細～細砂にシルトが混入\n,21.50,21.15,7,10,3,10,5,10,15,30,21.30,3,0,,,,,,,,,,2009-12-24,2,0.60,12,2009-12-25,21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成18年度 第606-1号 天野川単独河川改良調査設計業務委託,08,09,H18B-4,7,6,136,22,32.0000,35,21,44.0000,02,0,1,滋賀県米原市万願寺,5336,03,30,滋賀県湖北地域振興局長浜建設管理部,22501106,2006-09-19,2006-09-20,応用地質株式会社,138.60,5.50,1,0.00,,YBM-05,,1,ヤンマーFNL-Q,,,4,,2,YBM-SP40B,,,,5.50,砂礫,GS,1,531120000,5.50,暗黄茶,5.00,5.50,φ2～20mm程度の亜角礫で、マトリックスはシルト混じり細中砂である。所々にφ60～80mm程度の亜角礫が点在する。,5.50,5.15,17,10,17,10,19,10,53,30,5.50,5,0,,,,,,,,,,2006-09-20,1,3.64,12,2006-09-20,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第K38-2号 安曇川河川改良調査委託,08,21,No.27-2,16,14,136,01,34.7000,35,20,44.4000,02,1,1,滋賀県高島市新旭町安井川　他,5336,00,12,滋賀県高島土木事務所,22501108,2010-06-08,2010-06-14,富二設計コンサルティング株式会社,102.36,15.42,1,0.00,16.00,吉田鉄工YBM-05,,,ヤンマーNFAD-8,,,9,半自動落下,2,吉田鉄工YBM-SP30B,,l/min,,15.42,シルト混り砂礫,GS,1,531120000,15.42,茶灰,8.00,15.42,φ2～50mmの亜角亜円礫主体\nマトリックスは粒子不均一な砂\n全体にシルト分を混在\nφ80mm程度の玉石を点在\n所々、漏水する,15.42,15.15,25,10,21,10,14,7,60,27,15.42,9,0,10.00,10.50,99,現場透水試験,1.33E-04,14.15,14.45,P27-2-14,100,2010-06-11,1,9.47,19,2010-06-14,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200001,,,非常に密,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成22年度 第1820-4号 ガニ川補助通常砂防調査委託,09,01,No.2,0008,0002,136,04,21.4000,35,29,52.2000,02,1,1,滋賀県高島市マキノ町山中,5336,10,95,滋賀県高島土木事務所,22501108,2010-10-14,2010-10-15,村上興業株式会社,230.36,8.50,1,0.00,10.00,YBM05-DA,50,3,ヤンマーNFD8,8,PS,2,半自動落下,2,カノーV5,50,l/min,3,8.50,軟岩,WR,1,999010004,8.50,暗灰,7.60,8.50,亀裂の多い砂岩\n岩質は非常に硬いが亀裂が多い\nφ10～30mmの角礫状に破砕されて採取される\n　CL級\n,8.50,8.00,7,10,10,10,13,10,60,0,5.30,3,0,,,,,,,,,,2010-10-15,2,7.60,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入試験,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成18年度 第7-1号 葛籠尾崎大浦線災害調査設計業務委託,09,13,No.5,5,5,136,08,05.0000,35,27,36.0000,02,0,1,滋賀県伊香郡西浅井町菅浦,5336,11,50,滋賀県湖北地域振興局木之本建設管理部,22501107,2006-09-07,2006-09-13,株式会社日建技術コンサルタント,138.94,7.00,2,0.00,40.00,KANO KR-100H,100,3,YANMAR NFAD8,8,ps,2,,2,TOP NR型,50,l/min,3,7.00,緑色岩,Tl,1,,7.00,暗灰,4.90,7.00,短柱状～棒状コア主体\n岩片は非常に硬質\n亀裂面はやや開口し、少量粘性土分付着あり\n全体にコア詰まり著しい,7.00,3.00,50,0,2,10,7,10,50,0,,,,,,,,,,,,,2006-09-12,4,-99.99,91,2006-09-12,7.00,4.75,015,E,極軟,マサ状、粘土状。a,7.00,012,018,VIII,コアの採取ができないもの。スライムも含む。,7.00,013,014,d,割れ目として認識できない角礫状、砂状、粘土状コア。,7.00,012,025,ε,強風化している。原岩組織が失われている。,7.00,013,014,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換され、原岩組織を全く～殆ど残さないもの。,7.00,012,水位なし,7.00,66,1,,7.00,40,7.00,DDB,ダイヤモンドビット,7.00,1.0,7.00,140,7.00,0.0,8,0,2,,,,7.00,100,7.00,16,7.00,16,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,7.00,940,,111000000,貫入不能,,,,25000分の1地形図より読み取り,採取不可,認識不可,強風化,0.80,7.00,古生代,130000000,130000000,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
