適用規格,調査名,調査目的,調査対象,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,測地系,コード1次,コード2次,コード3次,発注機関名称,調査期間_終了年月日,調査会社_名称,孔口標高,総掘進長,柱状図様式,掘進方向,岩石土区分_下端深度,岩石土区分_岩石土名,岩石土区分_岩石群コード,色調_下端深度,標準貫入試験_開始深度,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,孔内水位_孔内水位,バージョン変換情報,事業工事名,ボーリング名,ボーリング総数,取得方法コード,読取精度コード,調査期間_開始年月日,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,掘進角度,地盤勾配,試錐機_名称,試錐機_能力,試錐機_方法,エンジン_名称,ハンマー落下用具_コード,ハンマー落下用具_名称,N値記録用具_コード,N値記録用具_名称,ポンプ_名称,岩石土区分_岩石土記号,岩石土区分_岩石,色調_色調名,観察記事_上端深度,観察記事_下端深度,観察記事_記事,硬軟区分判定表_コード,硬軟区分判定表_記号,硬軟区分判定表_区分,硬軟区分判定表_説明,硬軟区分_下端深度,硬軟区分_硬軟区分,コア形状区分判定表_コード,コア形状区分判定表_記号,コア形状区分判定表_区分,コア形状区分判定表_説明,コア形状区分_下端深度,コア形状区分_コア形状区分,割れ目区分_下端深度,割れ目区分_割れ目区分,風化区分_下端深度,風化区分_風化区分,変質区分判定表_コード,変質区分判定表_記号,変質区分判定表_区分,変質区分判定表_説明,変質区分_下端深度,変質区分_変質区分,孔内水位_測定年月日,孔内水位_掘削状況コード,孔内水位_掘削状況,孔内水位_水位種別コード,掘削工程_測定年月日,掘削工程_掘進深度,掘削工程_ケーシング下端深度,孔径孔壁保護_下端深度,孔径孔壁保護_孔径,孔径孔壁保護_孔壁保護コード,孔径孔壁保護_孔壁保護実施理由,掘進速度_下端深度,掘進速度_掘進速度,コアチューブビット_下端深度,コアチューブビット_コアチューブ名,コアチューブビット_ビット名,給圧条件_下端深度,給圧条件_給圧,回転数_下端深度,回転数_回転数,送水条件_下端深度,送水条件_送水圧,送水条件_送水量,送水条件_排水量,送水条件_送水種類コード,コア採取率_下端深度,コア採取率_採取率,最大コア長_下端深度,最大コア長_コア長,RQD_下端深度,RQD_RQD,岩級区分判定表_項目名,岩級区分判定表_コード,岩級区分判定表_記号,岩級区分判定表_説明,岩級区分_下端深度,岩級区分_岩級区分,地質柱状図様式,ハンマ落下用具_コード,ハンマ落下用具_名称,岩石土区分_岩相,色調_状態,観察記事枠線_下端深度,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,標準貫入試験_10_20打撃回数,標準貫入試験_10_20貫入量,標準貫入試験_20_30打撃回数,標準貫入試験_20_30貫入量,孔内水平載荷試験_試験深度,孔内水平載荷試験_試験方法コード,孔内水平載荷試験_初期圧,孔内水平載荷試験_降伏圧,孔内水平載荷試験_変形係数,透水試験_上端深度,透水試験_下端深度,透水試験_試験コード,透水試験_試験方法,透水試験_透水係数,P波試験_上端深度,P波試験_下端深度,P波試験_速度,S波試験_上端深度,S波試験_下端深度,S波試験_速度,試料採取_上端深度,試料採取_下端深度,試料採取_試料番号,試料採取_採取方法コード,地質時代_上端深度,地質時代_下端深度,地質時代_地質時代名,地質時代_形成年代上限,地質時代_形成年代下限,孔径孔壁保護_孔壁保護方法,標準貫入試験_備考,座標定義,座標,エンジン_能力,エンジン_単位,ポンプ_能力,ポンプ_単位,櫓種類コード,相対密度稠度_下端深度,相対密度_コード,相対密度_状態,相対稠度_コード,相対稠度_状態,地層岩体区分_上端深度,地層岩体区分_下端深度,地層岩体区分_地層岩体名,割れ目区分判定表_コード,割れ目区分判定表_記号,割れ目区分判定表_区分,割れ目区分判定表_説明,風化区分判定表_コード,風化区分判定表_記号,風化区分判定表_区分,風化区分判定表_説明,孔内水平載荷試験_載荷パターン,断層破砕帯区分_上端深度,断層破砕帯区分_下端深度,断層破砕帯区分_性状コード,送水条件_送水種類,孔内水位_水位種別備考,取得方法説明,岩石土区分_変成岩岩石,試料採取_試験名,その他原位置試験_試験名,その他原位置試験_上端深度,その他原位置試験_下端深度,その他原位置試験_試験結果,掘進方位,P波試験_起振方式,S波試験_起振方式,試料採取_採取方法,保孔管_下端深度,保孔管_種別コード,保孔管_備考,フリー情報
JIS A 0206-2008,関ヶ原バイパス（２工区）地質調査,01,05,3  ,136,27,9.561,35,22,14.568,1,5336,03,46,国土交通省 中部地方整備局 岐阜国道事務所,1981-10,興亜開発株式会社,170.19,11.43,1,000,011.43,玉石混り粘土質礫,1,011.43,011.15,50,28,000.60,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成15年度 156号岐阜東バイパス岩田山トンネル地質調査,01,04,0006,136,49,45.2000,35,26,20.9000,1,5336,16,26,国土交通省中部地方整備局岐阜国道事務所,2003-12-15,株式会社 建設企画コンサルタント,45.80,25.00,2,307.00,25.00,細粒砂岩,1,25.00,,,,0.00,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),156号岐阜東バイパス,BH-2,0012,01,1,2003-12-12,白石賢二,岡島信也,岡島信也,古川英夫,90.00,20.00,DO-D,50,3,NS-9 L70A,2,半自動型,2,野張,MS651,GS,111240002,淡黄灰～暗黄灰,22.00,25.00,23.00m付近から若干岩質が良くなる。\n部分的に3～10cm程度の短柱状コアを多く採取する。,015,E,極軟,マサ状、粘土状。,25.00,014,980,h,採取不可,コアの採取ができないもの。スライムも含む。,25.00,930,25.00,930,25.00,930,940,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換されほとんど変質し、30％以下非変質部を残すのみで、原岩組織を全く～殆ど残さないもの。,25.00,910,2003-12-15,9,15,99,2003-12-15,25.00,18.65,25.00,66,9,崩壊,25.00,120,25.00,ダブル,ダイヤ,25.00,3.5,25.00,160,25.00,1.0,20,20,2,25.00,100,25.00,12,25.00,21,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,25.00,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成13年度　東海環状岐阜地区ボーリング調査,01,04,0001,136,42,48.3650,35,28,30.4470,1,5336,15,77,国土交通省中部地方整備局岐阜国道工事事務所,2002-3-25,株式会社日本パブリック,88.38,75,,,75,軟岩,1,75,7.15,50,8,30.4,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),東海環状自動車道,No.1,5,02,0,2001-10-2,渡辺真司,三輪幸太郎,渡辺真司・三輪幸太郎,内山功一,,30,鉱研工業OP-1型,,,ヤンマー製NFD-9,,,2,野帳,丸山製MS510型,WR,999010004,,57.5,75,頁岩,,,,,,,,,,,,,,,,,,,,,,,2002-02-09,,75,,2002-01-21,75,,75,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,コーンプーリー法,599200003,黒,75,50,8,32,10,16,10,34.75,01,8.3,5441.2,5152,43,46,99,その他（湧水圧試験）,3.00E-04,64.7,75,3182,64.7,75,1359,60.5,63,1-3,509,0.9,75,中・古生代,000000000,000000000,セメンテーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成15年度 156号岐阜東バイパス岩田山トンネル地質調査,01,05,0012,136,52,51.6000,35,50,45.4000,1,5336,67,10,国土交通省中部地方整備局岐阜国道事務所,2003-12-22,株式会社 建設企画コンサルタント,304.49,15.00,2,,15.00,泥岩,1,15.00,14.00,50,6,0.00,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),大和改良,No.6,0012,01,1,2003-12-15,白石賢二,岡島信也,岡島信也,窪田好伸,0.00,0.00,KR-50H,50,3,NS-9 L70A,2,半自動型,2,野張,MS651,Ms,111300002,黒灰,13.00,15.00,全体に亀裂多く、角礫状～岩片状コア主体。\n2～3cm程度の角礫状コアとなる。\n30度方向の葉理面発達している。\nGL-12.00～13.00mで崩壊あり。\nGL-14.00m付近から全漏水。\nやや細粒砂を含む。\n亀裂面は褐色に変色している。,015,E,極軟,マサ状、粘土状。,15.00,013,980,h,採取不可,コアの採取ができないもの。スライムも含む。,15.00,940,15.00,930,15.00,930,940,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換されほとんど変質し、30％以下非変質部を残すのみで、原岩組織を全く～殆ど残さないもの。,15.00,910,2003-12-22,9,22,99,2003-12-22,15.00,8.45,15.00,66,9,その他,15.00,113,15.00,ダブル,ダイヤ,15.00,3.0,15.00,200,15.00,1.8,12,0,2,15.00,100,15.00,5,15.00,0,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,15.00,950,,,,,,,50,6,21,2,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,新揖斐川橋地質調査,18,21,1  ,136,39,13.397,35,22,28.583,1,5336,05,42,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,9.79,55.53,1,000,055.53,玉石混り礫,1,055.53,023.85,27,30,002.65,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,G-B,521111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,新荒田川境川・浄化地質調査,08,21,2  ,136,48,15.341,35,26,16.371,1,5336,16,24,国土交通省 中部地方整備局 木曽川上流河川事務所,1982-03,応用地質株式会社,22.07,15.30,1,000,015.30,岩盤,1,015.30,012.00,44,30,003.96,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,000,,,,,,,,,,,SM,999040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１２年度西前の谷第３砂防ダム実施設計業務委託,09,01,4  ,136,28,4.72,35,38,53.055,1,5336,33,77,国土交通省 中部地方整備局 越美山系砂防事務所,2000-09,中央コンサルタンツ株式会社,543.46,5.00,2,000,005.00,軟岩・風化岩,1,005.00,005.00,99,04,000.50,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,9,,,,,,,黒灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成４年度４１号下原改良地質調査（１５６号名津佐地区）,01,01,5  ,136,57,5.761,35,41,40.778,1,5336,47,36,国土交通省 中部地方整備局 岐阜国道事務所,1993-01,株式会社応用地学研究所名古屋事務所,182.36,16.00,2,000,016.00,中硬岩,1,016.00,011.00,60,30,010.88,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,3,,,,,MR,999010003,緑灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015.50,02,18.00,58.00,10744.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１２年度東海環状美濃関地区地質調査,01,01,7  ,136,53,59.301,35,31,6.946,1,5336,27,21,国土交通省 中部地方整備局 岐阜国道事務所,2001-03,株式会社東京ソイルリサーチ,55.36,8.30,1,000,008.30,玉石混り礫質土,1,008.30,008.15,50,15,005.72,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,2,,,,,SM,531231030,暗黄褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006.79,006.80,01,,2.57E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１０年度東海環状富加地質調査,01,05,8  ,136,59,43.074,35,29,37.965,1,5336,17,99,国土交通省 中部地方整備局 岐阜国道事務所,1998-09,（株）シマダ技術コンサルタント,85.42,7.00,2,000,007.00,岩盤,1,007.00,004.00,50,09,000.10,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,9,,,,,SF,999040001,暗黄灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
