適用規格,調査名,調査目的,調査対象,ボーリング名,ボーリング総数,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,取得方法コード,読取精度コード,測地系,コード1次,コード2次,コード3次,発注機関名称,調査期間_終了年月日,調査会社_名称,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,孔口標高,総掘進長,柱状図様式,掘進角度,試錐機_名称,試錐機_方法,エンジン_名称,ハンマー落下用具_コード,N値記録用具_コード,ポンプ_名称,岩石土区分_下端深度,岩石土区分_岩石土名,岩石土区分_岩石群コード,岩石土区分_岩石土記号,岩石土区分_岩石,色調_下端深度,色調_色調名,標準貫入試験_開始深度,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,バージョン変換情報,ボーリング連番,調査期間_開始年月日,掘進方向,地盤勾配,ハンマー落下用具_名称,N値記録用具_名称,櫓種類コード,岩石土区分_岩相,観察記事_上端深度,観察記事_下端深度,観察記事_記事,観察記事枠線_下端深度,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,相対密度稠度_下端深度,相対密度_コード,相対稠度_コード,試料採取_上端深度,試料採取_下端深度,試料採取_採取方法コード,試料採取_試料番号,試料採取_採取方法
JIS A 0206-2008,小松バイパス(二ツ梨地区)地質調査作業,01,01,54363394017,12,136,25,32.64017,36,20,6.18142,09,1,1,5436,43,04,建設省北陸地方建設局金沢工事事務所,1989-07-01,株式会社興和,不明,不明,不明,不明,9.87,12.5,1,0,不明,9,不明,2,9,不明,12.50,軟岩､風化岩,1,GF,531100000,12.50,灰,12.15,64,30,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,津幡B.P(太田～庄)他一件地質調査作業,01,05,54363394003,5,136,25,44.43873,36,20,7.58232,09,1,1,5436,43,04,建設省北陸地方建設局金沢工事事務所,1986-09-01,金沢鑿泉株式会社,不明,不明,不明,不明,9.63,9,1,0,不明,9,不明,3,9,不明,9.00,軟岩､風化岩,1,S,531211000,9.00,白灰,9.15,50,13,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,小松バイパス花坂地質調査作業,01,05,54364359001,11,136,29,17.41716,36,23,6.06778,09,1,1,5436,43,69,建設省北陸地方建設局金沢工事事務所,1983-08-01,金沢鑿泉株式会社,不明,不明,不明,不明,25.87,4,1,0,不明,9,不明,9,9,不明,4.00,不明,1,M,532110000,4.00,不明,4.00,99,30,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,津幡、小松バイパス地質調査,18,21,28-F-52,1177,136,29,4.319,36,25,58.091,02,1,1,5436,53,18,建設省金沢工事々務所調査二課,1969-11-01,不明,不明,不明,不明,不明,5,20,1,0,不明,9,不明,9,9,不明,020.00,礫混り砂,1,S-G,531212000,020.00,青灰色,019.80,34,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1061,1969-11-01,0,0,不明,その他,9,599200003,000.50,007.90,粘土混り\n,020.00,34,30,020.00,0,0,,,,,
JIS A 0206-2008,津幡B.P(太田～庄)他一件地質調査作業,01,05,54364347001,5,136,28,12.92311,36,22,20.77105,09,1,1,5436,43,47,建設省北陸地方建設局金沢工事事務所,1986-09-01,金沢鑿泉株式会社,不明,不明,不明,不明,26.97,16.5,1,0,不明,9,不明,3,9,不明,16.50,軟岩､風化岩,1,S,531211000,16.50,白灰,16.15,50,8,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,寺井小学校防音校舎新築工事地質調査,18,21,28-G-10,1177,136,29,52.574,36,26,11.011,02,1,1,5436,53,29,建設省金沢工事事務所調査二課,1967-06-01,不明,不明,不明,不明,不明,6,20,1,0,不明,9,不明,9,9,不明,020.00,砂礫,1,GS,531120000,020.00,暗緑青色,019.50,50,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1075,1967-06-01,0,0,不明,その他,9,599200003,,,,020.00,50,30,020.00,0,0,,,,,
JIS A 0206-2008,津幡・小松バイパス地質調査,18,21,28-F-40,1177,136,29,26.025,36,26,58.495,02,1,1,5436,53,39,建設省金沢工事事務所調査二課,1969-11-01,不明,不明,不明,不明,不明,9,10,1,0,不明,9,不明,9,9,不明,010.00,礫混り砂,1,S-G,531212000,010.00,褐色～暗灰色,009.50,45,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1049,1969-11-01,0,0,不明,その他,9,599200003,000.00,000.10,砂質泥\n,010.00,45,30,010.00,0,0,,,,,
JIS A 0206-2008,南郷高架橋土質調査,01,05,54363256008,9,136,19,24.9849,36,17,57.38865,09,1,1,5436,32,55,建設省北陸地方建設局金沢工事事務所,1981-12-01,(株)日本パブリックエンジニアリング,不明,不明,不明,不明,6.1,28.2,1,0,不明,9,不明,9,9,不明,28.20,不明,1,M,532110000,28.20,不明,27.15,50,12,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,599200003,,,,,,,,,,,,,,
JIS A 0206-2008,南郷拡幅(黒瀬～南郷)地質調査業務委託,01,01,54363256020,11,136,19,53.78192,36,18,2.48875,09,1,1,5436,32,66,建設省北陸地方建設局金沢工事事務所,1988-07-01,木村建設(株),不明,不明,不明,不明,7.98,10,1,0,不明,9,不明,2,9,不明,10.00,軟岩､風化岩,1,MS,532110020,10.00,暗灰,5.65,62,18,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,甚之助谷地すべり調査作業,09,13,54361650008,3,136,45,26.84149,36,7,49.10646,09,1,1,5436,16,50,建設省北陸地方建設局金沢工事事務所,1989-11-01,応用地質株式会社,不明,不明,不明,不明,1672.7,95,1,0,不明,9,不明,9,9,不明,95.00,中硬岩,1,MR,999010003,95.00,黒,,,,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,小松バイパス(大長野～千代)地質調査作業,01,01,54365318002,7,136,29,1.31403,36,25,42.04224,09,1,1,5436,53,18,建設省北陸地方建設局金沢工事事務所,1990-12-01,株式会社ホクコク地水,不明,不明,不明,不明,3.8,31,1,0,不明,9,不明,4,9,不明,31.00,砂,1,S,531211000,31.00,灰,31.15,50,42,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,1.00,1.90,250,,
JIS A 0206-2008,小松バイパス(大長野他)地質調査作業,01,01,54365318003,5,136,29,2.41375,36,25,49.24117,09,1,1,5436,53,18,建設省北陸地方建設局金沢工事事務所,1992-01-01,吉田鑿泉株式会社,不明,不明,不明,不明,5.77,32.41,1,0,不明,9,不明,4,9,不明,32.41,砂,1,S,531211000,32.41,暗灰,32.15,50,26,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,10.15,10.45,100,,
JIS A 0206-2008,甚之助谷地すべり調査作業,09,13,54361650009,3,136,45,23.54193,36,7,46.30661,09,1,1,5436,16,50,建設省北陸地方建設局金沢工事事務所,1989-11-01,応用地質株式会社,不明,不明,不明,不明,1640.93,70,1,0,不明,9,不明,9,9,不明,70.00,中硬岩,1,MR,999010003,70.00,黒,,,,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,南郷拡幅(黒瀬～南郷)地質調査業務委託,01,01,54363256021,11,136,19,50.48225,36,18,1.98873,09,1,1,5436,32,66,建設省北陸地方建設局金沢工事事務所,1988-07-01,木村建設(株),不明,不明,不明,不明,9.77,11,1,0,不明,9,不明,2,9,不明,11.00,軟岩､風化岩,1,C,532100000,11.00,暗灰,5.65,52,30,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,南郷高架橋土質調査,01,05,54363256009,9,136,19,24.9849,36,17,57.38865,09,1,1,5436,32,55,建設省北陸地方建設局金沢工事事務所,1981-12-01,(株)日本パブリックエンジニアリング,不明,不明,不明,不明,6.99,24.1,1,0,不明,9,不明,9,9,不明,24.10,不明,1,M,532110000,24.10,不明,24.00,50,10,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,599200003,,,,,,,,,,,,,,
JIS A 0206-2008,金沢西バイパス土質調査作業,18,21,28-F-39,1177,136,29,28.084,36,27,1.944,02,1,1,5436,53,49,建設省金沢工事事務所調査二課,1977-09-19,不明,不明,不明,不明,不明,9,20.25,1,0,不明,9,不明,9,9,不明,020.25,砂礫,1,GS,531120000,020.25,灰色,020.15,50,10,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1048,1977-09-15,0,0,不明,その他,9,599200003,019.40,020.25,礫MAXφ80m/m\n,020.25,50,10,020.25,0,0,14.15,14.45,100,5,P
JIS A 0206-2008,寺井小学校防音校舎新築工事地質調査,18,21,28-G-9,1177,136,29,53.104,36,26,10.661,02,1,1,5436,53,29,建設省金沢工事事務所調査二課,1967-06-17,不明,不明,不明,不明,不明,6,21,1,0,不明,9,不明,9,9,不明,021.00,砂礫,1,GS,531120000,021.00,暗緑青色,020.00,45,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1074,1967-06-13,0,0,不明,その他,9,599200003,,,,021.00,45,30,021.00,0,0,,,,,
JIS A 0206-2008,津幡、松任～小松バイパス地質概査,18,21,28-F-51,1177,136,29,6.088,36,26,9.86,02,1,1,5436,53,28,建設省金沢工事々務所調査二課,1968-10-20,不明,不明,不明,不明,不明,5,15.45,1,0,不明,9,不明,9,9,不明,015.45,シルト,1,M,532110000,015.45,暗灰色,015.15,10,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1060,1968-10-17,0,0,不明,その他,9,599200003,014.60,015.45,シルトにて軟かい\n,015.45,10,30,015.45,0,0,3.00,3.40,100,3,P
JIS A 0206-2008,小松バイパス(二ッ梨地区)地質調査作業,01,01,54363394016,12,136,25,35.83979,36,20,5.6818,09,1,1,5436,43,04,建設省北陸地方建設局金沢工事事務所,1989-07-01,株式会社興和,不明,不明,不明,不明,10.97,12.2,1,0,不明,9,不明,2,9,不明,12.20,礫質土,1,GF,531100000,12.20,褐,12.15,50,5,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,小松バイパス(二ッ梨地区)地質調査作業,01,01,54363394014,12,136,25,39.43935,36,20,6.18206,09,1,1,5436,43,04,建設省北陸地方建設局金沢工事事務所,1989-07-01,株式会社興和,不明,不明,不明,不明,8.83,9.5,1,0,不明,9,不明,2,9,不明,9.50,軟岩､風化岩,1,GF,531100000,9.50,白灰,7.50,52,10,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,地質調査作業単価契約(小松バイパスその1),01,01,54364389009,5,136,29,13.31439,36,24,40.05288,09,1,1,5436,43,98,建設省北陸地方建設局金沢工事事務所,1991-01-01,株式会社ホクコク地水,不明,不明,不明,不明,3.5,18,1,0,不明,9,不明,4,9,不明,18.00,礫質土,1,GF,531100000,18.00,青灰,18.15,50,24,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,小松バイパス花坂地質調査作業,01,05,54364359002,11,136,29,16.41721,36,23,8.06744,09,1,1,5436,43,69,建設省北陸地方建設局金沢工事事務所,1983-08-01,金沢鑿泉株式会社,不明,不明,不明,不明,23.44,4,1,0,不明,9,不明,9,9,不明,4.00,不明,1,MV,532110060,4.00,不明,4.15,50,5,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,鶴来B.P(手取川2号橋)ボーリング調査作業,18,21,28-I-12,1177,136,37,54.952,36,26,4.184,02,1,1,5436,55,20,建設省金沢工事事務所調査二課,1977-09-19,不明,不明,不明,不明,不明,99,14,1,0,不明,9,不明,9,9,不明,014.00,軽石質凝灰岩,1,Ptf,,014.00,灰褐色,,,,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1089,1977-09-13,0,0,不明,その他,9,221024300,013.70,014.00,短柱状\nコア最長16cm\n,014.00,,,014.00,0,0,,,,,
JIS A 0206-2008,小松バイパス地質調査,18,21,28-G-17,1177,136,30,22.212,36,25,57.773,02,1,1,5436,54,10,建設省金沢工事事務所調査二課,1967-03-12,不明,不明,不明,不明,不明,8,15.45,1,0,不明,9,不明,9,9,不明,015.45,砂礫,1,GS,531120000,015.45,青灰色,015.15,60,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1076,1967-03-09,0,0,不明,その他,9,599200001,011.00,015.45,礫径は5～10cm\n非常に硬い\n,015.45,60,30,015.45,0,0,,,,,
JIS A 0206-2008,小松バイパス地質調査,18,21,28-F-54,1177,136,28,50.131,36,25,40.303,02,1,1,5436,53,18,建設省金沢工事事務所調査二課,1969-11-01,不明,不明,不明,不明,不明,4,20,1,0,不明,9,不明,9,9,不明,020.00,礫混り砂,1,S-G,531212000,020.00,青灰色,019.80,34,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1062,1969-11-01,0,0,不明,その他,9,599200003,000.50,007.90,粘土混り\n,020.00,34,30,020.00,0,0,,,,,
JIS A 0206-2008,南郷拡幅(黒瀬～南郷)地質調査業務委託,01,01,54363256023,11,136,19,55.48173,36,18,2.98873,09,1,1,5436,32,66,建設省北陸地方建設局金沢工事事務所,1988-08-01,木村建設(株),不明,不明,不明,不明,9.99,9.3,1,0,不明,9,不明,9,9,不明,9.30,砂利・礫混り粘性土,1,,,9.30,緑灰,,,,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,8.50,9.30,250,,
JIS A 0206-2008,小松バイパス(大長野～千代)地質調査作業,01,01,54365318001,7,136,29,1.81393,36,25,44.54188,09,1,1,5436,53,18,建設省北陸地方建設局金沢工事事務所,1990-12-01,株式会社ホクコク地水,不明,不明,不明,不明,5.27,32,1,0,不明,9,不明,4,9,不明,32.00,砂,1,S,531211000,32.00,灰,32.15,44,30,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,599200002,,,,,,,,,,25.15,25.45,100,,
JIS A 0206-2008,小松市立向本折小学校地地質調査,18,21,29-F-63,1177,136,26,37.857,36,23,32.364,02,1,1,5436,43,75,建設省金沢工事事務所調査二課,1964-09-30,不明,不明,不明,不明,不明,2,28,1,0,不明,9,不明,9,9,不明,028.00,砂礫,1,GS,531120000,028.00,暗灰色,027.15,50,29,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1117,1964-09-26,0,0,不明,その他,9,599200003,023.85,028.00,含水分少量\n礫径15～20m/m(最大径)\n礫混入60～70%\n粘土分少量含む\n,028.00,50,29,028.00,0,0,,,,,
JIS A 0206-2008,南郷拡幅(黒瀬～南郷)地質調査業務委託,01,01,54363256022,11,136,19,55.68163,36,18,4.38858,09,1,1,5436,32,66,建設省北陸地方建設局金沢工事事務所,1988-08-01,木村建設(株),不明,不明,不明,不明,9.7,10.73,1,0,不明,9,不明,9,9,不明,10.73,砂利・礫混り粘性土,1,MC,532110040,10.73,灰,,,,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,10.50,10.73,250,,
JIS A 0206-2008,寺井小学校防音校舎新築工事地質調査,18,21,28-G-10,1177,136,29,52.574,36,26,11.011,02,1,1,5436,53,29,建設省金沢工事事務所調査二課,1967-06-01,不明,不明,不明,不明,不明,6,20,1,0,不明,9,不明,9,9,不明,020.00,砂礫,1,GS,531120000,020.00,暗緑青色,019.50,50,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1063,1967-06-01,0,0,不明,その他,9,599200003,,,,020.00,50,30,020.00,0,0,,,,,
JIS A 0206-2008,津幡・松任～小松バイパス地質概査,18,21,28-G-19,1177,136,30,22.662,36,25,55.273,02,1,1,5436,54,10,建設省金沢工事事務所調査二課,1968-10-25,不明,不明,不明,不明,不明,9,7.1,1,0,不明,9,不明,9,9,不明,007.10,砂礫,1,GS,531120000,007.10,暗灰色,007.10,50,10,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1077,1968-10-21,0,0,不明,その他,9,599200003,002.55,007.10,2.55mより上部に20cm程度の大礫があり、礫径50～100m/m程度が主\n2.50m付近30%程度の逃水\n3.00～4.00m　60%程度の逃水\n4.00m付近にて最大礫φ150m/m、φ20m/mの礫が多い\n4.00～5m　30%程度の逃水\n6.00m付近に最大150m/m～200m/m程度の礫が主\n6.70m付近に10cm程度の粘土混じり砂礫が見られる\n,007.10,50,10,007.10,0,0,2.15,2.45,100,2,P
JIS A 0206-2008,鶴来B.P(手取川2号橋)ボーリング調査作業,18,21,28-I-11,1177,136,37,53.992,36,26,4.984,02,1,1,5436,55,20,建設省金沢工事事務所調査二課,1977-09-19,不明,不明,不明,不明,不明,99,20,1,0,不明,9,不明,9,9,不明,020.00,酸性凝灰岩,1,Ptf,,020.00,不明,,,,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1088,1977-09-13,0,0,不明,その他,9,221024300,018.50,020.00,φ1cm程度の淡緑色ローム状の光沢を有す酸性火山礫がモザイク状に集合膠結\n石英粒子を多量に含む\n棒状に採取されるが、ベントナイト化しており軟質\n手でも折れる\n,020.00,,,020.00,0,0,,,,,
JIS A 0206-2008,地質調査作業単価契約(小松バイパスその2),01,01,54364389008,5,136,29,16.41421,36,24,37.55349,09,1,1,5436,43,99,建設省北陸地方建設局金沢工事事務所,1991-02-01,株式会社ホクコク地水,不明,不明,不明,不明,3.53,19,1,0,不明,9,不明,4,9,不明,19.00,礫質土,1,GF,531100000,19.00,青灰,19.15,50,20,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,小松バイパス(二ッ梨地区)地質調査作業,01,01,54363394015,12,136,25,35.53981,36,20,7.08155,09,1,1,5436,43,04,建設省北陸地方建設局金沢工事事務所,1989-07-01,株式会社興和,不明,不明,不明,不明,9.66,11.1,1,0,不明,9,不明,2,9,不明,11.10,軟岩､風化岩,1,GF,531100000,11.10,灰褐,11.00,50,10,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,小松B.P(林町～二ッ梨町)地質調査作業,01,01,54363394005,8,136,25,35.93977,36,20,6.18173,09,1,1,5436,43,04,建設省北陸地方建設局金沢工事事務所,1987-09-01,基礎地盤コンサルタンツ株式会社,不明,不明,不明,不明,10.21,17.24,1,0,不明,9,不明,4,9,不明,17.24,軟岩､風化岩,1,GF,531100000,17.24,青灰,17.10,50,14,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,599200003,,,,,,,,,,14.60,14.80,999,,不明
JIS A 0206-2008,小松バイパス(二ッ梨地区)地質調査作業,01,01,54363394011,12,136,25,41.63907,36,20,7.882,09,1,1,5436,43,04,建設省北陸地方建設局金沢工事事務所,1989-07-01,株式会社興和,不明,不明,不明,不明,7.53,7,1,0,不明,9,不明,2,9,不明,7.00,軟岩､風化岩,1,S,531211000,7.00,灰,5.65,50,10,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,千代地質調査作業,01,01,54364389030,6,136,29,17.31422,36,24,34.55403,09,1,1,5436,43,99,建設省北陸地方建設局金沢工事事務所,2001-03-01,株式会社　日さく,不明,不明,不明,不明,3.21,32,1,0,不明,9,不明,2,9,不明,32.00,火山灰,1,VA,540120000,32.00,黄灰,32.00,50,30,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,25.00,25.60,300,,
JIS A 0206-2008,小松バイパス花坂地質調査作業,01,05,54364359007,11,136,29,18.41706,36,23,8.06755,09,1,1,5436,43,69,建設省北陸地方建設局金沢工事事務所,1983-08-01,金沢鑿泉株式会社,不明,不明,不明,不明,27.69,4,1,0,不明,9,不明,9,9,不明,4.00,不明,1,SV,531231060,4.00,不明,4.00,99,30,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
