no,data_name_e,file_name,jigyou_name,chousa_name,chousa_mokuteki,chousa_taishou,boring_name,hacchuu_kikan,start_date,end_date,bor_level,bor_length,pdf,test_xml,s_val1max,s_val4,s_val5,s_val6,s_val7,s_val8,s_val9,s_val10,s_val11,s_val12,bor_id,address,download_h,model,lng,lat
50,BOREHOLE_FUKUI,BED10418000011791,,通常砂防工事　地質調査業務委託,09,01,Bv-3,福井県鯖江土木事務所,2003-12-15,2003-12-17,87.7,8,0,0,60,3,0000,000000,000000000,00000,0000,0000,0000,000,309757,別司川（鯖江市　別司町）,1,0,136.25265238889,35.955482944444
66,BOREHOLE_FUKUI,18000164050300000-BED0001,,こども家族館周辺沈下に伴う測量・管路調査・地質調査業務,18,15,R3.B-1,福井県知事,2021-07-05,2021-07-12,2.86,20,0,0,48,0.31,0000,111101,000000000,00000,0000,0000,0000,000,312879,大飯郡おおい町成海地係,1,0,135.62784052778,35.4810995
74,BOREHOLE_FUKUI,18000231452100316-BED0001,,砂防工事地質調査業務委託03-144-02,09,01,B.No.1,福井県嶺南振興局敦賀土木事務所,2021-08-03,2021-08-04,68.94,8.06,0,0,50,4.74,0000,000000,000000000,00000,0000,0000,0000,000,312999,綿襷谷川　敦賀市鳩原地係,1,0,136.07872222222,35.616611111111
75,BOREHOLE_FUKUI,18000103101902331-BED0002,,令和元年度 経営体育成基盤整備事業（ほ場）飯盛地区　委託第3号,61,01,BP2-1,福井県嶺南振興局　農村整備部,2019-11-29,2019-12-11,13.47,6,0,0,42,0.81,0000,000000,000000000,00000,0000,0000,0000,000,312848,飯盛地区　福井県小浜市飯盛地係,1,0,135.68230555556,35.482444444444
76,BOREHOLE_FUKUI,18000134352001540-BED0001,,令和2年度 農村地域防災減災事業 福井第2地区（若狭地区）委託第1号,69,21,B-1,福井県嶺南振興局 農村整備部,2020-10-01,2020-10-03,205.67,15.45,0,0,14,1.47,0000,111101,000000000,00000,0000,0000,0000,000,312849,福井県 高浜町 鎌倉 地係,1,0,135.45302877778,35.522722388889
79,BOREHOLE_FUKUI,BED10418000012234,河川激甚災害対策特別緊急工事,地質調査解析業務委託 委託16-4,08,12,1.2k(L-外),福井県 福井土木事務所,2004-11-22,2005-04-28,7.99,14.5,0,0,31,1.2,0000,111100,000000000,11001,0000,0000,0000,000,310170,一級河川 足羽川 福井市 大瀬町 他,1,0,136.19133333333,36.065444444444
80,BOREHOLE_FUKUI,18000134652001719-BED0017,,令和元年度 農村地域防災減災事業 福井第2地区（二州地区） 業務委託第2号,69,12,気山旧堤下流部,福井県嶺南振興局二州農林部,2020-10-29,2020-11-03,73.13,9.27,0,0,60,5.75,0000,111101,000000000,00000,0000,0000,0000,000,312874,"三方町気山(市)260号笹原畑6,15,16",1,0,135.91272222222,35.57625
81,BOREHOLE_FUKUI,18000134652001719-BED0018,,令和元年度 農村地域防災減災事業 福井第2地区（二州地区） 業務委託第2号,69,12,成願寺堤中央部,福井県嶺南振興局二州農林部,2020-11-24,2020-12-05,83.44,11.5,0,0,34,2.5,0000,111101,000000000,00000,0000,0000,0000,000,312875,若狭町成願寺31号砂馳,1,0,135.90725,35.5025
83,BOREHOLE_FUKUI,18000134652001719-BED0016,,令和元年度 農村地域防災減災事業 福井第2地区（二州地区） 業務委託第2号,69,12,気山旧堤中央部,福井県嶺南振興局二州農林部,2020-10-27,2020-10-29,75.87,11.24,0,0,60,8,0000,111101,000000000,00000,0000,0000,0000,000,312876,"三方町気山(市)260号笹原畑6,15,16",1,0,135.91277777778,35.576222222222
84,BOREHOLE_FUKUI,18000164050300000-BED0002,,こども家族館周辺沈下に伴う測量・管路調査・地質調査業務,18,15,R3.B-2,福井県知事,2021-07-05,2021-07-09,2.79,20,0,0,23,0.7,0000,111101,000000000,00000,0000,0000,0000,000,312880,大飯郡おおい町成海地係,1,0,135.62823266667,35.481523027778
